Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
verifyTextPresent,Chrome 65.0.3325.181,,2561-04-03 13:42:42,2561-04-03 13:42:42,0.141s,PASSED
closeBrowser,Chrome 65.0.3325.181,,2561-04-03 13:42:42,2561-04-03 13:42:43,0.744s,PASSED
,,,,,,
Test Cases/Register volunteer/Register04,Chrome 65.0.3325.181,\u0E01\u0E23\u0E2D\u0E01\u0E02\u0E49\u0E2D\u0E21\u0E39\u0E25\u0E17\u0E31\u0E49\u0E07\u0E2B\u0E21\u0E14 \u0E42\u0E14\u0E22\u0E44\u0E21\u0E48\u0E01\u0E23\u0E2D\u0E01\u0E23\u0E2B\u0E31\u0E2A\u0E1C\u0E48\u0E32\u0E19\u0E01\u0E31\u0E1A\u0E22\u0E37\u0E19\u0E22\u0E31\u0E19\u0E23\u0E2B\u0E31\u0E2A\u0E1C\u0E48\u0E32\u0E19,2561-04-03 13:42:43,2561-04-03 13:43:27,43.652s,PASSED
"Statement - randomString = CustomKeywords.generateEmail.genEmail.randomString(""abcdefghijklmnopqrstuvwxty123456789"", 10)",Chrome 65.0.3325.181,,2561-04-03 13:42:43,2561-04-03 13:42:43,0.013s,PASSED
"Statement - randomNameTH = CustomKeywords.generateEmail.genEmail.randomString(""°¢§¶ß®©™´∞ØƒÊ‰”æ–—’√÷¿∂ÿŸ£•∫¬≠Í√∏–±æøÀ¶°Ø¥‚¨‡ÁÈË“… »«∆ΩÃ„≤≤∑◊Ï‘ŒÕ·ªº"", 12)",Chrome 65.0.3325.181,,2561-04-03 13:42:43,2561-04-03 13:42:43,0.000s,PASSED
"Statement - randomLastNameTH = CustomKeywords.generateEmail.genEmail.randomString(""°¢§¶ß®©™´∞ØƒÊ‰”æ–—’√÷¿∂ÿŸ£•∫¬≠Í√∏–±æøÀ¶°Ø¥‚¨‡ÁÈË“… »«∆ΩÃ„≤≤∑◊Ï‘ŒÕ·ªº"", 12)",Chrome 65.0.3325.181,,2561-04-03 13:42:43,2561-04-03 13:42:43,0.000s,PASSED
Statement - randomR = CustomKeywords.random.randomReligion.randomRRR(),Chrome 65.0.3325.181,,2561-04-03 13:42:43,2561-04-03 13:42:43,0.000s,PASSED
Statement - radomD = CustomKeywords.random.randomDegree.randomDeg(),Chrome 65.0.3325.181,,2561-04-03 13:42:43,2561-04-03 13:42:43,0.000s,PASSED
Statement - randomJ = CustomKeywords.random.randomJobs.randomJOb(),Chrome 65.0.3325.181,,2561-04-03 13:42:43,2561-04-03 13:42:43,0.000s,PASSED
Statement - randomS = CustomKeywords.random.randomStatus.randomSta(),Chrome 65.0.3325.181,,2561-04-03 13:42:43,2561-04-03 13:42:43,0.000s,PASSED
openBrowser,Chrome 65.0.3325.181,,2561-04-03 13:42:43,2561-04-03 13:42:48,4.365s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2561-04-03 13:42:48,2561-04-03 13:43:13,25.716s,PASSED
click,Chrome 65.0.3325.181,,2561-04-03 13:43:13,2561-04-03 13:43:15,1.563s,PASSED
setText,Chrome 65.0.3325.181,,2561-04-03 13:43:15,2561-04-03 13:43:15,0.259s,PASSED
setText,Chrome 65.0.3325.181,,2561-04-03 13:43:15,2561-04-03 13:43:15,0.092s,PASSED
setText,Chrome 65.0.3325.181,,2561-04-03 13:43:15,2561-04-03 13:43:15,0.104s,PASSED
uploadFile,Chrome 65.0.3325.181,,2561-04-03 13:43:15,2561-04-03 13:43:15,0.053s,PASSED
setText,Chrome 65.0.3325.181,,2561-04-03 13:43:15,2561-04-03 13:43:16,0.167s,PASSED
